 Rainfall, Temperature, Ph, Production
1000.4992,35,5.5,0.03994
1001.68519,35,5.5,0.13481
1001.95313,34,5.5,0.15625
1002.18254,33.66667,5.5,0.1746
1002.37279,33.16667,5.5,0.18982
1002.44845,32.66667,5.5,0.19588
1002.54647,32.16667,5.5,0.20372
1002.67319,31.66667,5.5,0.21386
1002.85204,31.16667,5.5,0.22816
1002.93563,30.66667,5.5,0.23485
1003.125,30.16667,5.5,0.25
1003.19501,29.66667,5.5,0.2556
1003.325,29.16667,5.5,0.266
1003.38492,28.66667,5.5,0.27079
1003.42182,28.16667,5.5,0.27375
1003.43421,27.66667,5.5,0.27474
1003.47744,27.16667,5.5,0.2782
1003.67647,26.66667,5.5,0.29412
1003.76203,26.16667,5.5,0.30096
1003.77948,25.66667,5.5,0.30236
1003.77948,25.16667,5.5,0.30236
1003.86685,24.66667,5.5,0.30935
1004.08936,24.16667,5.5,0.32715
1004.14399,23.66667,5.5,0.33152
1004.1461,23.16667,5.5,0.33169
1004.15017,22.66667,5.5,0.33201
1004.16347,22.16667,5.5,0.33308
1004.16667,21.66667,5.5,0.33333
1004.17043,21.16667,5.5,0.33363
1004.18341,20.66667,5.5,0.33467
1004.18432,20.16667,5.5,0.33475
1004.1886,19.66667,5.5,0.33509
1004.18904,19.16667,5.5,0.33512
1004.19643,18.66667,5.5,0.33571
1004.24074,18.16667,5.5,0.33926
1004.26786,17.66667,5.5,0.34143
1004.27402,17.16667,5.5,0.34192
1004.27574,16.66667,5.5,0.34206
1004.34783,16.16667,5.5,0.34783
1004.35606,15.66667,5.5,0.34848
1004.47703,15.16667,5.5,0.35816
1004.49127,14.66667,5.5,0.3593
1004.5738,14.16667,5.5,0.3659
1004.63232,13.66667,5.5,0.37059
1004.69398,13.16667,5.5,0.37552
1004.70742,12.66667,5.5,0.37659
1004.73573,12.16667,5.5,0.37886
1004.74638,11.66667,5.5,0.37971
1004.78579,11.16667,5.5,0.38286
1004.85767,11,5.5,0.38861
1004.91756,11,5.5,0.3934
