Andaman and Nicobar,L,VL,L,6.5
Andhra Pradesh,H,VH,M,6.3
Arunachal Pradesh,H,M,M,5.6
Assam,M,L,VL,6.5
Bihar,VL,VH,H,6
Goa,M,VL,M,5.4
Gujarat,L,VH,H,6
Haryana,VL,M,H,6
Himachal Pradesh,M,M,H,6.5
Jammu and Kashmir,H,M,M,6
Jharkhand,L,M,M,6.2
Kerala,H,VH,M,6.2
Madhya Pradesh,L,M,H,6.2
Maharashtra,M,H,M,6
Manipur,L,VH,L,5.7
Meghalya,L,M,M,5.9
Mizoram,M,M,M,5
Nagaland,M,VL,H,6.1
Odisha,VL,M,M,6.3
Puduchery,L,M,M,5.8
Punjab,M,M,H,5.9
Rajasthan,L,M,L,6
Sikkim,M,M,M,6
Tamilnadu,H,VH,H,6
Tripura,L,M,L,7
Uttar Pradesh,VL,M,H,6.9
Uttarkhand,L,M,M,6.5
West Bengal,M,VH,M,5.6
Chattisgarh,L,M,L,6.5
Telanagana,L,VH,H,6
Karnataka,L,VH,M,6.2
