Bangalore ,Karnataka,January ,27.4,15,4.9
Bangalore ,Karnataka,February ,30.1,16.6,7.9
Bangalore ,Karnataka,March ,32.8,19,10
Bangalore ,Karnataka,April ,33.9,21.3,43.9
Bangalore ,Karnataka,May ,33.1,21.1,111.9
Bangalore ,Karnataka,June ,29.4,19.8,79.7
Bangalore ,Karnataka,July ,27.7,19.3,109.7
Bangalore ,Karnataka,August ,27.6,19.2,138.8
Bangalore ,Karnataka,September ,28.1,19.1,185.9
Bangalore ,Karnataka,October ,27.9,18.9,161.7
Bangalore ,Karnataka,November ,26.8,17.2,59.2
Bangalore ,Karnataka,December ,26.2,15.4,17.4
Bareilly ,Uttar Pradesh,January ,21.6,8.3,22.9
Bareilly ,Uttar Pradesh,February ,24,10.4,25.3
Bareilly ,Uttar Pradesh,March ,30.6,15.2,14.5
Bareilly ,Uttar Pradesh,April ,36.8,20.9,8.9
Bareilly ,Uttar Pradesh,May ,39.9,25.1,19.3
Bareilly ,Uttar Pradesh,June ,38.6,27,106.4
Bareilly ,Uttar Pradesh,July ,33.9,26.1,307
Bareilly ,Uttar Pradesh,August ,32.6,25.8,290.9
Bareilly ,Uttar Pradesh,September ,33,24.4,186.1
Bareilly ,Uttar Pradesh,October ,32.3,19.3,44.9
Bareilly ,Uttar Pradesh,November ,28,12.7,3.9
Bareilly ,Uttar Pradesh,December ,23.2,8.8,9.7
Bhatinda ,Punjab,January ,20.5,4.7,11.4
Bhatinda ,Punjab,February ,22.8,7.8,13.2
Bhatinda ,Punjab,March ,28.3,12.5,23.5
Bhatinda ,Punjab,April ,35.7,18.6,8.8
Bhatinda ,Punjab,May ,40,22.7,14.8
Bhatinda ,Punjab,June ,41.4,26.8,34.1
Bhatinda ,Punjab,July ,36.9,26.3,133.1
Bhatinda ,Punjab,August ,35.4,25.3,120.2
Bhatinda ,Punjab,September ,35.4,22.6,47
Bhatinda ,Punjab,October ,34,16.3,7.8
Bhatinda ,Punjab,November ,28.2,9.6,7.7
Bhatinda ,Punjab,December ,22.7,5.2,6.8
Coimbatore ,Tamilnadu,January ,30.2,18.1,6.6
Coimbatore ,Tamilnadu,February ,32.9,19.2,8.9
Coimbatore ,Tamilnadu,March ,35.5,21.3,12
Coimbatore ,Tamilnadu,April ,36.2,23.3,49.4
Coimbatore ,Tamilnadu,May ,34.7,23.3,68.8
Coimbatore ,Tamilnadu,June ,32,22.3,84.4
Coimbatore ,Tamilnadu,July ,30.8,21.7,34.3
Coimbatore ,Tamilnadu,August ,31.3,21.7,28.4
Coimbatore ,Tamilnadu,September ,32.2,21.8,57.3
Coimbatore ,Tamilnadu,October ,31.3,21.8,136.7
Coimbatore ,Tamilnadu,November ,29.9,20.6,119.3
Coimbatore ,Tamilnadu,December ,29.1,18.8,40.8
DehraDun ,Uttarkhand,January ,19.3,6,55
DehraDun ,Uttarkhand,February ,21.5,7.8,58.8
DehraDun ,Uttarkhand,March ,26.4,12,49
DehraDun ,Uttarkhand,April ,32.1,16.7,22.5
DehraDun ,Uttarkhand,May ,35.6,20.7,41.7
DehraDun ,Uttarkhand,June ,34.8,23,201.8
DehraDun ,Uttarkhand,July ,30.5,22.8,672.6
DehraDun ,Uttarkhand,August ,29.4,22.4,728.2
DehraDun ,Uttarkhand,September ,29.7,20.8,296.5
DehraDun ,Uttarkhand,October ,28.5,15.7,49.8
DehraDun ,Uttarkhand,November ,25,10.4,8.6
DehraDun ,Uttarkhand,December ,21.1,6.8,24.4
Guwahati ,Assam,January ,23.6,10.2,11.8
Guwahati ,Assam,February ,26.2,11.9,17.2
Guwahati ,Assam,March ,29.9,15.8,55.1
Guwahati ,Assam,April ,31.2,20,147
Guwahati ,Assam,May ,31.1,22.6,248.9
Guwahati ,Assam,June ,31.7,24.8,316.8
Guwahati ,Assam,July ,31.8,25.5,351.2
Guwahati ,Assam,August ,32.1,25.5,269.4
Guwahati ,Assam,September ,31.6,24.6,187
Guwahati ,Assam,October ,30.2,21.9,90.9
Guwahati ,Assam,November ,27.6,16.7,18.5
Guwahati ,Assam,December ,24.6,11.7,7.3
Jabalpur ,Madhya Pradesh,January ,25.5,9.8,22.2
Jabalpur ,Madhya Pradesh,February ,28.2,11.9,23.4
Jabalpur ,Madhya Pradesh,March ,33.6,16.1,15.5
Jabalpur ,Madhya Pradesh,April ,38.4,21.4,7.7
Jabalpur ,Madhya Pradesh,May ,41.3,26,12.9
Jabalpur ,Madhya Pradesh,June ,37.5,26.4,167.3
Jabalpur ,Madhya Pradesh,July ,30.7,24.1,421.9
Jabalpur ,Madhya Pradesh,August ,29.5,23.6,422.9
Jabalpur ,Madhya Pradesh,September ,30.9,23.1,200.1
Jabalpur ,Madhya Pradesh,October ,31.6,18.8,39.9
Jabalpur ,Madhya Pradesh,November ,28.7,12.7,15
Jabalpur ,Madhya Pradesh,December ,25.9,9.3,9.9
Jammu ,Jammu and Kashmir,January ,18.6,7.8,60.7
Jammu ,Jammu and Kashmir,February ,21.3,10.1,62.8
Jammu ,Jammu and Kashmir,March ,26.1,14.2,59.9
Jammu ,Jammu and Kashmir,April ,32.6,19.7,35.7
Jammu ,Jammu and Kashmir,May ,38.1,24.7,25.6
Jammu ,Jammu and Kashmir,June ,39.8,26.9,72.7
Jammu ,Jammu and Kashmir,July ,35.1,25.2,349.6
Jammu ,Jammu and Kashmir,August ,33.3,24.7,319.1
Jammu ,Jammu and Kashmir,September ,33.3,23.3,139.8
Jammu ,Jammu and Kashmir,October ,31.4,18.8,23.8
Jammu ,Jammu and Kashmir,November ,26.5,13.1,10.3
Jammu ,Jammu and Kashmir,December ,20.9,9,33
Kolkata ,West Bengal,January ,26,13.7,13.3
Kolkata ,West Bengal,February ,29,16.6,25.6
Kolkata ,West Bengal,March ,33.7,21.4,33.3
Kolkata ,West Bengal,April ,35.7,24.9,51.2
Kolkata ,West Bengal,May ,35.5,26.1,126.2
Kolkata ,West Bengal,June ,33.7,26.5,282.4
Kolkata ,West Bengal,July ,32,26.2,339.8
Kolkata ,West Bengal,August ,31.8,26.1,333.2
Kolkata ,West Bengal,September ,32,25.9,277.2
Kolkata ,West Bengal,October ,31.7,23.9,138.9
Kolkata ,West Bengal,November ,29.3,18.8,23.9
Kolkata ,West Bengal,December ,26.4,14.2,6.4
Mangalore ,Karnataka,January ,32.8,20.8,1.1
Mangalore ,Karnataka,February ,33,21.8,0.2
Mangalore ,Karnataka,March ,33.5,23.6,2.9
Mangalore ,Karnataka,April ,34,25,24.4
Mangalore ,Karnataka,May ,33.3,25.1,183.2
Mangalore ,Karnataka,June ,29.7,23.4,1027.2
Mangalore ,Karnataka,July ,28.2,22.9,1200.4
Mangalore ,Karnataka,August ,28.4,23,787.3
Mangalore ,Karnataka,September ,29.5,23.1,292.1
Mangalore ,Karnataka,October ,30.9,23.1,190.8
Mangalore ,Karnataka,November ,32.3,22.4,70.9
Mangalore ,Karnataka,December ,32.8,21.2,16.4
Mysore ,Karnataka,January ,28.6,16.2,4.8
Mysore ,Karnataka,February ,31.1,17.9,5.1
Mysore ,Karnataka,March ,33.6,19.9,11.6
Mysore ,Karnataka,April ,34.3,21.2,62.4
Mysore ,Karnataka,May ,32.9,21,145.7
Mysore ,Karnataka,June ,29.2,20.1,67.3
Mysore ,Karnataka,July ,27.7,19.6,74.3
